Nodes,Accuracy,Precision,Recall
20,0.64,0.4,0.5
20,0.38,0.33,0.67
20,0.9,1,0.75
20,0.88,0.8,0.8
20,0.35,0.31,1
20,0.71,0.55,1
20,1,1,1
20,0.62,0.44,0.8
20,0.55,0.5,0.4
20,0.25,0.29,0.67
20,0.69,0.57,0.67
20,0.76,0.6,1
20,0.54,0.29,0.67
20,0.47,0.4,0.67
20,0.77,0.67,0.8
20,0.5,0.25,0.25
20,0.67,0.75,0.5
20,0.82,0.6,1
20,0.76,0.57,0.8
20,0.59,0.44,0.67
50,0.67,0.48,0.93
50,0.94,0.82,1
50,0.87,0.71,1
50,0.85,0.67,1
50,0.64,0.48,0.93
50,0.74,0.54,0.93
50,0.67,0.48,0.85
50,0.79,0.6,1
50,0.63,0.44,0.79
50,0.87,0.71,1
50,0.62,0.48,0.8
50,0.7,0.52,0.8
50,0.69,0.5,1
50,0.69,0.52,0.87
50,0.73,0.57,0.87
50,0.53,0.41,0.93
50,0.81,0.62,1
50,0.64,0.46,0.79
50,0.67,0.48,0.79
50,0.67,0.48,0.93
100,0.84,0.65,1
100,0.84,0.66,0.97
100,0.81,0.62,0.97
100,0.84,0.66,0.97
100,0.83,0.67,0.87
100,0.8,0.61,0.9
100,0.88,0.74,0.93
100,0.78,0.59,0.97
100,0.71,0.52,0.93
100,0.77,0.59,0.8
100,0.76,0.56,0.97
100,0.74,0.55,0.9
100,0.84,0.68,0.87
100,0.86,0.71,0.9
100,0.74,0.55,0.93
100,0.84,0.68,0.87
100,0.78,0.58,0.93
100,0.82,0.64,0.93
100,0.68,0.49,0.97
100,0.88,0.72,0.97
