rho_de,rho_cp,alpha,gamma,epsilon,acc,prec,rec
100, 500, 0.1, 0.6, 0.1, 0.3829787234042553, 0.3409090909090909, 1.0
50, 50, 0.01, 0.5, 0.01, 0.5531914893617021, 0.2, 0.13333333333333333
50, 50, 0.01, 0.5, 0.05, 0.717391304347826, 1.0, 0.07142857142857142
50, 50, 0.01, 0.5, 0.1, 0.717391304347826, 1.0, 0.07142857142857142
50, 50, 0.01, 0.5, 0.15, 0.6170212765957447, 0.0, 0.0
50, 50, 0.01, 0.6, 0.01, 0.717391304347826, 0.6, 0.4
50, 50, 0.01, 0.6, 0.05, 0.717391304347826, 1.0, 0.07142857142857142
50, 50, 0.01, 0.6, 0.1, 0.6956521739130435, 0.0, 0.0
50, 50, 0.01, 0.6, 0.15, 0.6956521739130435, 0.0, 0.0
50, 50, 0.01, 0.7, 0.01, 0.6808510638297872, 0.5, 0.26666666666666666
50, 50, 0.01, 0.7, 0.05, 0.6818181818181818, 0.5, 0.07142857142857142
50, 50, 0.01, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
50, 50, 0.01, 0.7, 0.15, 0.6808510638297872, 0.0, 0.0
50, 50, 0.05, 0.5, 0.01, 0.6170212765957447, 0.2, 0.06666666666666667
50, 50, 0.05, 0.5, 0.05, 0.7021276595744681, 0.6, 0.2
50, 50, 0.05, 0.5, 0.1, 0.7021276595744681, 1.0, 0.06666666666666667
50, 50, 0.05, 0.5, 0.15, 0.6382978723404256, 0.0, 0.0
50, 50, 0.05, 0.6, 0.01, 0.6382978723404256, 0.4, 0.26666666666666666
50, 50, 0.05, 0.6, 0.05, 0.6739130434782609, 0.5, 0.13333333333333333
50, 50, 0.05, 0.6, 0.1, 0.7021276595744681, 1.0, 0.06666666666666667
50, 50, 0.05, 0.6, 0.15, 0.6595744680851063, 0.0, 0.0
50, 50, 0.05, 0.7, 0.01, 0.5869565217391305, 0.25, 0.13333333333333333
50, 50, 0.05, 0.7, 0.05, 0.7021276595744681, 0.6666666666666666, 0.13333333333333333
50, 50, 0.05, 0.7, 0.1, 0.6956521739130435, 0.0, 0.0
50, 50, 0.05, 0.7, 0.15, 0.6595744680851063, 0.0, 0.0
50, 50, 0.1, 0.5, 0.01, 0.6956521739130435, 0.5555555555555556, 0.3333333333333333
50, 50, 0.1, 0.5, 0.05, 0.717391304347826, 0.6666666666666666, 0.14285714285714285
50, 50, 0.1, 0.5, 0.1, 0.7021276595744681, 1.0, 0.06666666666666667
50, 50, 0.1, 0.5, 0.15, 0.6808510638297872, 0.5, 0.06666666666666667
50, 50, 0.1, 0.6, 0.01, 0.723404255319149, 0.6, 0.4
50, 50, 0.1, 0.6, 0.05, 0.723404255319149, 1.0, 0.13333333333333333
50, 50, 0.1, 0.6, 0.1, 0.6739130434782609, 0.0, 0.0
50, 50, 0.1, 0.6, 0.15, 0.7021276595744681, 1.0, 0.06666666666666667
50, 50, 0.1, 0.7, 0.01, 0.6304347826086957, 0.3333333333333333, 0.13333333333333333
50, 50, 0.1, 0.7, 0.05, 0.7021276595744681, 0.5714285714285714, 0.26666666666666666
50, 50, 0.1, 0.7, 0.1, 0.6595744680851063, 0.3333333333333333, 0.06666666666666667
50, 50, 0.1, 0.7, 0.15, 0.717391304347826, 1.0, 0.07142857142857142
50, 100, 0.01, 0.5, 0.01, 0.7021276595744681, 0.5384615384615384, 0.4666666666666667
50, 100, 0.01, 0.5, 0.05, 0.723404255319149, 0.55, 0.7333333333333333
50, 100, 0.01, 0.5, 0.1, 0.7872340425531915, 0.6923076923076923, 0.6
50, 100, 0.01, 0.5, 0.15, 0.7872340425531915, 0.6470588235294118, 0.7333333333333333
50, 100, 0.01, 0.6, 0.01, 0.7872340425531915, 0.6666666666666666, 0.6666666666666666
50, 100, 0.01, 0.6, 0.05, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
50, 100, 0.01, 0.6, 0.1, 0.8043478260869565, 0.6666666666666666, 0.7142857142857143
50, 100, 0.01, 0.6, 0.15, 0.723404255319149, 0.5625, 0.6
50, 100, 0.01, 0.7, 0.01, 0.7446808510638298, 0.6363636363636364, 0.4666666666666667
50, 100, 0.01, 0.7, 0.05, 0.8297872340425532, 0.8181818181818182, 0.6
50, 100, 0.01, 0.7, 0.1, 0.7872340425531915, 0.631578947368421, 0.8
50, 100, 0.01, 0.7, 0.15, 0.8085106382978723, 0.6875, 0.7333333333333333
50, 100, 0.05, 0.5, 0.01, 0.782608695652174, 0.75, 0.42857142857142855
50, 100, 0.05, 0.5, 0.05, 0.7446808510638298, 0.5789473684210527, 0.7333333333333333
50, 100, 0.05, 0.5, 0.1, 0.7872340425531915, 0.6666666666666666, 0.6666666666666666
50, 100, 0.05, 0.5, 0.15, 0.7872340425531915, 0.6470588235294118, 0.7333333333333333
50, 100, 0.05, 0.6, 0.01, 0.5957446808510638, 0.3333333333333333, 0.26666666666666666
50, 100, 0.05, 0.6, 0.05, 0.7659574468085106, 0.6666666666666666, 0.5333333333333333
50, 100, 0.05, 0.6, 0.1, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
50, 100, 0.05, 0.6, 0.15, 0.851063829787234, 0.8333333333333334, 0.6666666666666666
50, 100, 0.05, 0.7, 0.01, 0.5957446808510638, 0.375, 0.4
50, 100, 0.05, 0.7, 0.05, 0.723404255319149, 0.5714285714285714, 0.5333333333333333
50, 100, 0.05, 0.7, 0.1, 0.7446808510638298, 0.5882352941176471, 0.6666666666666666
50, 100, 0.05, 0.7, 0.15, 0.723404255319149, 0.5833333333333334, 0.4666666666666667
50, 100, 0.1, 0.5, 0.01, 0.7446808510638298, 0.5882352941176471, 0.6666666666666666
50, 100, 0.1, 0.5, 0.05, 0.7446808510638298, 0.6, 0.6
50, 100, 0.1, 0.5, 0.1, 0.8297872340425532, 0.7058823529411765, 0.8
50, 100, 0.1, 0.5, 0.15, 0.7446808510638298, 0.6, 0.6
50, 100, 0.1, 0.6, 0.01, 0.7391304347826086, 0.5833333333333334, 0.5
50, 100, 0.1, 0.6, 0.05, 0.7872340425531915, 0.6666666666666666, 0.6666666666666666
50, 100, 0.1, 0.6, 0.1, 0.8085106382978723, 0.6666666666666666, 0.8
50, 100, 0.1, 0.6, 0.15, 0.851063829787234, 0.7857142857142857, 0.7333333333333333
50, 100, 0.1, 0.7, 0.01, 0.7021276595744681, 0.5454545454545454, 0.4
50, 100, 0.1, 0.7, 0.05, 0.6382978723404256, 0.45, 0.6
50, 100, 0.1, 0.7, 0.1, 0.7872340425531915, 0.6666666666666666, 0.6666666666666666
50, 100, 0.1, 0.7, 0.15, 0.8085106382978723, 0.6875, 0.7333333333333333
50, 250, 0.01, 0.5, 0.01, 0.8181818181818182, 0.6923076923076923, 0.6923076923076923
50, 250, 0.01, 0.5, 0.05, 0.6808510638297872, 0.5, 0.9333333333333333
50, 250, 0.01, 0.5, 0.1, 0.851063829787234, 0.6818181818181818, 1.0
50, 250, 0.01, 0.5, 0.15, 0.5957446808510638, 0.4375, 0.9333333333333333
50, 250, 0.01, 0.6, 0.01, 0.6521739130434783, 0.47368421052631576, 0.6
50, 250, 0.01, 0.6, 0.05, 0.7021276595744681, 0.5185185185185185, 0.9333333333333333
50, 250, 0.01, 0.6, 0.1, 0.6170212765957447, 0.45161290322580644, 0.9333333333333333
